Employer.Name,CBA.File,Location,Union,Expiration.Date,NAICS.,X.Wrkrs,Type
KROGER CO. (FRONT-END/GROCERY/PRODUCE),625,GA AL,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1996,2005-05-14,445110,7600,PRIVATE
KROGER CO. CHARLESTON (MID-ATLANTIC),620,WV CHARLESTON,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 347,2003-10-11,445110,4500,PRIVATE
KROGER COMPANY,654,MI,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 876,2004-06-05,445110,8500,PRIVATE
KROGER COMPANY (DRUG/G.M.),568,GA ATLANTA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1996,2005-05-07,445110,900,PRIVATE
KROGER COMPANY (GROCERY),562,OH NORTHWEST,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 911,2007-04-07,445110,2400,PRIVATE
KROGER COMPANY (MEAT DIVISION),653,MI,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 876,2013-06-15,445110,8500,PRIVATE
KROGER DELTA DIVISION,2213,TN,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1529,2019-02-24,NA,NA,PRIVATE
KROGER FOOD STORES,634,OH CINCINNATI/DAYTON,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1099,2010-10-09,445110,8000,PRIVATE
KROGER FOOD STORES,700,GA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1996,2009-09-12,445110,2350,PRIVATE
KROGER FOOD STORES (CINCINNATI STORES),633,IN KY OH,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1099,2004-10-09,445110,8000,PRIVATE
KROGER FOOD STORES (CLERKS),646,TX HOUSTON,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 455,2004-04-03,445110,11500,PRIVATE
KROGER FOOD STORES (DELI/MEAT/SEAFOOD),699,GA AL SC,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1996,2005-05-14,445110,2350,PRIVATE
KROGER LIMITED PARTNERSHIP,2211,IN,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 700,2016-05-12,NA,NA,PRIVATE
KROGER LIMITED PARTNERSHIP (CLERKS),578,TN MO MS AR KY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1529,2007-10-06,445110,5200,PRIVATE
KROGER LIMITED PARTNERSHIP I,670,AL KY TN,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1995,2004-05-15,445110,9200,PRIVATE
KROGER LIMITED PARTNERSHIP I (CLERKS),546,IL PEORIA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 536,2004-08-31,445110,1400,PRIVATE
KROGER LIMITED PARTNERSHIP I (GROCERY),659,AR LITTLE ROCK,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 2008,2006-06-24,445110,2100,PRIVATE
KROGER LIMITED PARTNERSHIP I (INDIANAPOLIS CLERKS),624,IN INDIANAPOLIS,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 700,2003-11-01,445110,4000,PRIVATE
KROGER LIMITED PARTNERSHIP I (MEAT AND DELI),577,TN MEMPHIS,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1529,2007-10-06,445110,1150,PRIVATE
KROGER LIMITED PARTNERSHIP I (MID-ATLANTIC),683,VA WV TN,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 400,2005-03-26,445110,3700,PRIVATE
"KROGER LIMITED PARTNERSHIP, I LOUISVILLE DIV.",651,KY LOUISVILLE,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 227,2004-04-10,445110,10000,PRIVATE
KROGER TEXAS LP,2209,TX,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1000,2017-06-03,NA,NA,PRIVATE
KROGER TEXAS LP,2214,TX,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 455,2016-04-09,NA,NA,PRIVATE
KROGER TEXAS LP,2215,"TX, LA",FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 455,2020-04-11,NA,NA,PRIVATE
KYW-TV & WPSG-TV,2171,PA PHILADELPHIA,STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 804,2018-07-15,515120,NA,PRIVATE
L A RESOURCES INC.,992,TX BEAUMONT,PLUMBERS AFL-CIO (PPF) LOCAL UNION 195,2004-08-31,23822,1000,PRIVATE
"L.L. BROOKS ENTERPRISES, INC. (WHITEMAN  AFB, MISSOURI)",2564,MO,STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 780,2020-05-31,561990,18,PRIVATE
"LABOR INSTITUTE INC., THE",3678,NY,USW 4-406,2021-10-31,611710,5,PRIVATE
LABOR RELATIONS DIV. OF CONSTRN. INDUSTRIES OF MASSACHUSETTS INC.,1256,MA,LIUNA ,2008-05-30,NA,NA,PRIVATE
LABORERS' DISTRICT COUNCIL CONSTRUCTION INDUSTRY PENSION FUND,821,PA,OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 32,2020-12-31,NA,NA,PRIVATE
LACLEDE GAS CO.,488,MO ST LOUIS,PACE LU 5-6,2008-07-31,221210,1150,PRIVATE
LACLEDE GAS COMPANY,2239,MO,PAICEWIU 5-194,2004-07-31,NA,NA,PRIVATE
LAKE UNION DRYDOCK COMPANY,2358,WA,MTD PUGET SOUNDS,2018-07-30,NA,NA,PRIVATE
LAKE UNION DRYLOCK COMPANY,1819,WA,MTD PACIFIC COAST DC-PUGET SOUND,2012-06-30,238390,1400,PRIVATE
LAKE UNION DRYLOCK COMPANY,1820,WA,MTD PACIFIC COAST DC- PUGET SOUND,2009-07-01,238390,1400,PRIVATE
LAND-O-SUN DAIRIES/PET DAIRY PRODUCTS,52,GA KY NC SC TN,TEAMSTERS (IBT) LOCAL UNION 22/TEAMSTERS (IBT) LOCAL UNION 509/TEAMSTERS (IBT) LOCAL UNION 549/TEAMSTERS (IBT) LOCAL UNION 592/TEAMSTERS (IBT) LOCAL UNION 61/TEAMSTERS (IBT) LOCAL UNION 822,2009-09-30,311514,1000,PRIVATE
LANDSCAPE AND EROSION CONTROL CONTRACTORS,2493,MN,LABORERS  (LIUNA) DISTRICT COUNCIL 0 MINNESOTA-NORTH DAKOTA,2020-04-30,NA,NA,PRIVATE
LAS VEGAS HOTEL & CASINO,1989,NV,HERE 226,2012-05-31,72112,1900,PRIVATE
LATHING & PLASTERING CONTRACTORS ASSOC.,1852,MN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 633,2017-04-30,238140,1730,PRIVATE
"LATHING & PLASTERING CONTRACTORS ASSOC. OF GARY, IN INC.",1875,IN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692,2015-06-30,238140,1730,PRIVATE
"LATHING & PLASTERING CONTRACTORS ASSOC. OF GARY, IN INC.",1876,IN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692,2012-06-30,238140,1730,PRIVATE
"LATHING & PLASTERING CONTRACTORS ASSOC. OF HAMMOND, IN INC.",1868,IN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692,2012-06-30,238140,1730,PRIVATE
"LATHING & PLASTERING CONTRACTORS ASSOC. OF HAMMOND, IN INC.",1867,IN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692,2015-06-30,238140,1730,PRIVATE
LEAGUE OF VOLUNTARY HOSPITALS & HOMES,780,NY,SEIU 1199,2011-09-30,62211,38000,PRIVATE
LEAGUE OF VOLUNTARY HOSPITALS & HOMES,781,NY,SEIU 1199,2018-09-30,62211,38000,PRIVATE
LEAGUE OF VOLUNTARY HOSPITALS & HOMES,782,NY NEW YORK,NHHSEU 1199,2005-04-30,62211,38000,PRIVATE
LEARJET INC.,309,KS,MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 70/MACHINISTS AFL-CIO (IAM) LODGE 639,2009-10-05,336412,1462,PRIVATE
LEARJET INC.,310,KS WICHITA,MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 70,2004-10-04,336412,1462,PRIVATE
LEGAL AID OF WEST VIRGINIA,1498,VA,APPALACHIAN LEGAL SERVICES  ,2023-12-31,NA,NA,PRIVATE
LEGAL SERVICES NYC,2030,NY,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 2320 LEGAL SERVICES WORKERS,2012-06-30,61131,4283,PRIVATE
LEHIGH CEMENT COMPANY LLC,2462,IA,BOILERMAKERS AFL-CIO (BBF) LODGE 106 D CEMENT WORKERS,2020-10-05,NA,NA,PRIVATE
LEVI STRAUSS AND CO.,103,"NATIONAL",UNITE HERE  -,2006-11-30,315211,6200,PRIVATE
LEVY PREMIUM FOODSERVICE PARTNERSHIP,2306,NV,CWU 226,2022-08-31,NA,NA,PRIVATE
LEWELLEN & BEST DISPLAYS,2403,IL,CJA RC CHICAGO,2020-05-31,NA,NA,PRIVATE
LIBERTY PULTRUSION WEST MIFFLIN PLAN,2074,PA,COMMUNICATIONS WORKERS AFL-CIO (CWA) LOCAL UNION 88643,2015-10-01,23821,1000,PRIVATE
LIGHTING & ELECTRICAL MAINTENANCE ASSOCIATION,1516,NY NEW YORK,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 3,2005-06-30,23821,1300,PRIVATE
"LIGHTING MANUFACTURERS GROUP (PROD, ELECTR)",270,NY NJ,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 3,2004-06-30,335121,1100,PRIVATE
"LIGHTING MANUFACTURERS GROUP (PRODUCTION, ELECTRICAL)",269,NY NJ,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 3,2010-06-30,335121,1100,PRIVATE
LIGHTNING EXPRESS DELIVERY SERVICE INC.,2528,NY,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 363,2022-04-30,484110,22,PRIVATE
"LINCOLN CITY, LLC",2029,NY,SERVICE EMPLOYEES (SEIU) LOCAL UNION 503,2011-09-30,485111,51527,PRIVATE
"LITHOGRAPHIC INDUSTRIES, INC.",2590,IL,GCC/IBT 4-458M,2022-04-30,323111,3,PRIVATE
"LIVE NATION WORLDWIDE, INC.",1128,MI,STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 38,2021-05-31,NA,NA,PRIVATE
"LOCKHEED MARTIN (MARITIME,SPACE,MISSILES&FIRE CONTROL)",12,CO FL MD,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 738/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 766/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 788,2007-11-01,336411,1050,PRIVATE
"LOCKHEED MARTIN (MISSION SYSTEMS AND TRAINING SERVICES, INC.)",2093,AR,- ,2018-12-31,336411,1000,PRIVATE
"LOCKHEED MARTIN (MISSION SYSTEMS AND TRAINING SERVICES, INC.)",2094,AR,LRAITSP ,2018-03-04,336411,1000,PRIVATE
LOCKHEED MARTIN (NAVAL ELECTRONICS & SURVEILLANCE) KAPL,381,NY NJ IN,COMMUNICATIONS WORKERS AFL-CIO (CWA) LOCAL UNION 301 IUE-CWA LOCAL 301,2006-07-30,334511,1350,PRIVATE
LOCKHEED MARTIN AERONAUTICAL SYSTEMS,323,GA MARIETTA,MACHINISTS AFL-CIO (IAM) LODGE 709,2005-03-01,336411,4100,PRIVATE
LOCKHEED MARTIN AERONAUTICS COMPANY,321,TX FT WORTH,MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 776,2006-04-06,336411,4400,PRIVATE
LOCKHEED MARTIN AERONAUTICS COMPANY,322,CA PALMDALE,MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 725,2008-03-01,336411,1300,PRIVATE
LOCKHEED MARTIN INFORMATION SYSTEMS AND GLOBAL SOLUTIONS - AFSS,2419,ME,IAM ,2020-04-26,NA,NA,PRIVATE
"LOCKHEED MARTIN SPACE SYSTEMS CO,MISSILES & SPACE OPS",11,CA FL,IAM 7 LOCALS,2005-03-01,336414,1650,PRIVATE
LOGISTICS SERVICES INC.,1941,MI,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 659,2009-06-01,336111,3163,PRIVATE
LONE STAR STEEL CO.,199,TX LONE STAR,"STEELWORKERS, AFL-CIO (USW) LOCAL UNION 12 4134 S",2005-05-31,331111,1250,PRIVATE
LONGVIEW FIBRE CO.,123,WA LONGVIEW,WPPW -,2006-05-31,322112,1500,PRIVATE
LORILLARD TOBACCO COMPANY,86,NC GREENSBORO,BCTW 317T,2006-03-01,312221,1155,PRIVATE
"LOS ANGELES ARENA COMPANY, LLC. AND L.A. LIVE THEATRE, LLC.",2595,CA,STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 857 TREASURES AND TICKET SELLERS,2023-08-31,NA,NA,PRIVATE
LTV STEEL CO & LTV STEEL TABULAR PRODUCTS CO,201,OH IL,USW -,2004-08-01,331111,9000,PRIVATE
"LUBRIZOL CORPORATION, THE",2553,NJ,TEAMSTERS (IBT) LOCAL UNION 560,2022-05-31,325199,8,PRIVATE
LUCENT TECHNOLOGIES (COLUMBUS WORKS),1502,OH,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1612,2003-05-31,NA,NA,PRIVATE
LUCENT TECHNOLOGIES (INSTALLATION),941,"NATIONAL",CWA VARIOUS,2012-05-26,33421,2592,PRIVATE
LUCENT TECHNOLOGIES OPTOELECTRONICS CENTER,1135,NJ,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1522/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1560,2003-05-31,NA,310,PRIVATE
"LUFKIN INDUSTRIES, INC.",251,TX LUFKIN,AFL-CIO -,2005-10-02,333132,850,PRIVATE
LUMBER INDUSTRY AGREEMENT,540,NY GREATER,TEAMSTERS (IBT) LOCAL UNION 282,2008-06-30,44419,3700,PRIVATE
LYON PORTABLE PLANTS,2576,MI,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 324",2022-05-31,NA,NA,PRIVATE
"M CUBED TECHNOLOGIES, INC.",2256,DE,TEAMSTERS (IBT) LOCAL UNION 326 GENERAL TEAMSTERS,2021-01-17,NA,NA,PRIVATE
"M.B. CONSULTANTS, LTD",1770,NY,JOURNEYMEN AND ALLIED TRADES IND (IUJAT) LOCAL UNION 726 SERVICE PROFESSIONALS UNION,2012-02-26,561720,1845,PRIVATE
M7 AEROSPACE,2099,MD,MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 142,2017-08-30,NA,NA,PRIVATE
MACK TRUCKS INC.,351,GA MD PA SC,UAW 6 LOCALS,2004-10-01,336120,3700,PRIVATE
"MACY'S - INNOVATIVE FACILITIES SERVICES, INC.",2043,,SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877,2012-04-30,NA,NA,PRIVATE
MACY'S CALIFORNIA DEPARTMENT STORES,586,CA SAN FRAN,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 101,2008-05-31,452110,2000,PRIVATE
MACY'S NORTHEAST INC. (MOA),590,NY NEW YORK,UFCW/RWDSU  1-S,2006-02-01,452110,4000,PRIVATE
"MAD RIVER BREWING COMPANY, INC.",2540,CA,MACHINISTS AFL-CIO (IAM) LOCAL LODGE W 98 WOODWORKERS,2020-03-31,312120,8,PRIVATE
MAGMA COOPER COMPANY,1090,AZ,USW -,2007-07-01,62211,NA,PRIVATE
"MAGNUM CARBIDE, LLC.",1361,PA,MACHINISTS AFL-CIO (IAM) LODGE 2530,2022-12-31,NA,11,PRIVATE
MAIMONIDES MEDICAL CENTER,1912,NY,NYSA -,2011-01-01,62211,1000,PRIVATE
MAIMONIDES MEDICAL CENTER,1913,NY,SEIU HEALTHCARE,2010-10-31,62211,1650,PRIVATE
MAINTENANCE CONTRACTORS,812,CA,SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877,2012-04-30,NA,NA,PRIVATE
MAINTENANCE CONTRACTORS AGREEMENT,818,CA LOS ANGELES,SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877,2008-04-30,56172,8500,PRIVATE
MAINTENANCE CONTRACTORS OF NEW ENGL (BLDG),809,MA BOSTON,SERVICE EMPLOYEES (SEIU) LOCAL UNION 254,NA,56172,8500,PRIVATE
MAINTENANCE CONTRACTORS OF NEW ENGL (BLDG),810,MA,SERVICE EMPLOYEES (SEIU) LOCAL UNION 615,2012-09-30,56172,8500,PRIVATE
MAINTENANCE CONTRACTORS ORANGE COUNTY,811,CA LOS ANGELES,SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877,2008-04-30,56172,3000,PRIVATE
MAITA BODY SHOP,1336,CA,MACHINISTS AFL-CIO (IAM) LODGE 2182,2022-08-01,NA,NA,PRIVATE
MAJOR LEAGUE BASEBALL TEAMS,856,"NATIONAL",MLBPA -,2006-12-19,711211,1050,PRIVATE
"MALCO PRODUCTS, INC.",2114,OH BARBETON,MEIU -,2017-10-31,813930,NA,PRIVATE
"MAN-DELL FOOD STORES, INC.",1780,NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500,2016-05-28,445110,1500,PRIVATE
MAN-DELL FOOD STORES. INC.,2375,NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500,2017-08-26,NA,NA,PRIVATE
MANUFACTURERS WOODWORKERS ASSOCIATION. OF NY,116,NY NEW YORK,CJA DC OF NYC,2002-06-30,337122,1100,PRIVATE
"MARCEGAGLIA, USA, INC.",2119,PA MCKEESPORT,USPFRMAEA  5852-22,2017-09-30,331210,NA,PRIVATE
MARKEY MACHINERY COMPANY,2359,WA,BOILERMAKERS AFL-CIO (BBF) LODGE 104,2017-10-01,NA,NA,PRIVATE
MARSH PLATING CORPORATION,2076,MI,"STEELWORKERS, AFL-CIO (USW) LOCAL UNION 2 513",2015-02-01,238140,1000,PRIVATE
MARYLAND HEAVY & HIGHWAY CONTRACTORS ASSOCIATION,1418,MD BALTIMORE,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 37",2005-03-31,23731,1450,PRIVATE
MASON CONTRACTORS ASSOCIATION OF CLEVELAND,1528,OH CLEVELAND,BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 5 CLEVELAND OHIO,2005-04-30,23814,1500,PRIVATE
MASON CONTRACTORS ASSOCIATION OF GREATER CHICAGO,1194,IL,BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 14/BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 20/BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 21/BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 27/BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 27/BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 56/BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 74,2004-05-31,NA,NA,PRIVATE
MASON CONTRACTORS ASSOCIATION OF MA,1488,MA BOSTON,BAC 3,2007-07-31,23814,2500,PRIVATE
MASON CONTRACTORS ASSOCIATION OF SAINT LOUIS,2268,MO,IBB 1,2021-05-31,NA,NA,PRIVATE
MASON CONTRACTORS ASSOCIATION OF SOUTHEAST MISSOURI,1503,MO,BRICKLAYERS / B.A.C. ADMINISTRATIVE DISTRICT  AFL-CIO,2023-05-31,NA,NA,PRIVATE
MASON CONTRACTORS ASSOCIATION OF SOUTHEAST MISSOURI,1997,MO,BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 23,2013-05-31,23814,1000,PRIVATE
MASON CONTRACTORS ASSOCIATION OF SOUTHEAST MISSOURI,1998,MI,BAC DC EASTERN MISSOURI,2018-05-31,NA,NA,PRIVATE
MASON CONTRACTORS ASSOCIATION OF SOUTHEAST MISSOURI,2234,MO,BAC ,2018-05-31,NA,NA,PRIVATE
MASON CONTRACTORS ASSOCIATION OF ST. LOUIS,1444,MO ST LOUIS,LABORERS  (LIUNA) LOCAL UNION 110/LABORERS  (LIUNA) LOCAL UNION 42/LABORERS  (LIUNA) LOCAL UNION 660,2005-02-28,23814,1500,PRIVATE
MASON CONTRACTORS ASSOCIATION OF ST. LOUIS,1445,MO,LABORERS  (LIUNA) LOCAL UNION 110/LABORERS  (LIUNA) LOCAL UNION 42/LABORERS  (LIUNA) LOCAL UNION 660,2010-02-28,23814,1500,PRIVATE
MASON CONTRACTORS ASSOCIATION OF ST. LOUIS,1504,MO,BRICKLAYERS / B.A.C. ADMINISTRATIVE DISTRICT  1,2029-05-31,NA,NA,PRIVATE
MASON CONTRACTORS ASSOCIATION OF ST. LOUIS,2297,MO,BAC DC,2021-05-31,NA,NA,PRIVATE
MASON CONTRACTORS ASSOCIATION. OF ST. LOUIS,987,MO ST LOUIS,BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 1,2006-05-31,23814,1100,PRIVATE
MASON CONTRACTORS ASSOCIATION. OF ST. LOUIS,2127,MO ST LOUIS,BAC -,2021-05-31,238140,NA,PRIVATE
MASON CONTRACTORS EXCHANGE OF SO CA (BRCK TNDRS),1345,CA SOUTHERN,LABORERS  (LIUNA) DISTRICT COUNCIL 0 GEORGIA-SOUTH CAROLINA,2006-08-31,23814,1200,PRIVATE
MASON CONTRACTORS EXCHANGE OF SO. CA,1346,CA SOUTHERN,BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 4 BRICKLAYERS & ALLIED CRAFTWORKERS,2004-04-30,23814,1100,PRIVATE
MASON TENDERS MASTER INDEPENDENT AGREEMENT,1604,NY NEW YORK,LABORERS  (LIUNA) LOCAL UNION 78/LABORERS  (LIUNA) LOCAL UNION 79,2005-06-30,23622,4000,PRIVATE
"MASONRY CONT ASSOC OF SPOKANE, INC.",2133,"IDAHO, WA",LABORERS  (LIUNA) LOCAL UNION 238/LABORERS  (LIUNA) LOCAL UNION 348,2015-05-31,238140,NA,PRIVATE
MASS ELECTRIC CONSTRUCTION CO.,1097,CA,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 11,2015-06-30,23821,5500,PRIVATE
MASS ELECTRIC CONSTRUCTION CO.,1098,CA,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 11,2015-06-30,23821,5500,PRIVATE
MASS ELECTRIC CONSTRUCTION COMPANY (RAILROAD SIGNAL MAINTENANCE),1510,MA,IBEW ,2003-11-30,NA,NA,PRIVATE
MASSACHUSETTS ELECTRIC COMPANY/NEW ENGLAND POWER COMPANY/NEW ENGLAND POWER SERVICE COMPANY/GRANITE STATE ELECTRIC COMPANY,2248,MA,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 326/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 486,2003-05-11,NA,NA,PRIVATE
"MASSACHUSETTS, COMMONWEALTH OF (ADMIN & CLERK-UNIT 1)",31,MA,"NAGE R1-290, R1-291, R1-292",2006-06-30,921190,9000,PRIVATE
"MASSACHUSETTS, COMMONWEALTH OF (PROFESSIONAL-UNIT 6)",32,MA,"NAGE R1-207, R1-282",2006-06-30,921190,5000,PRIVATE
"MASSACHUSETTS, COMMONWEALTH OF (UNIT 8 & 10)",28,MA BOSTON,"SEIU,AFSCME  ",2004-06-30,921190,20000,PRIVATE
MASTER BUILDERS ASSOCIATION OF W. PA,1218,PA WESTERN,CJA W.PA RDC,2005-05-31,23622,5000,PRIVATE
MASTER BUILDERS ASSOCIATION OF W. PA,1281,PA WESTERN,LABORERS  (LIUNA) DISTRICT COUNCIL 0 WESTERN PENNSYLVANIA,2005-05-31,23622,4500,PRIVATE
MASTER BUILDERS ASSOCIATION OF W. PA,1396,PA WESTERN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 66",2005-05-31,23622,6500,PRIVATE
MAY COMPANY D/B/A FILENE'S,587,NEW ENGLAND,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1445,2006-02-05,452110,2600,PRIVATE
"MAYFIELD , KENTUCKY PLANT OF GENERAL TIRE, INC.",173,KY,USW -,2006-10-15,452110,NA,PRIVATE
MAYTAG GALESBURG REFRIGERATION PRODUCTS,235,IL GALESBURG,MACHINISTS AFL-CIO (IAM) LODGE 2063,2002-04-07,335224,1900,PRIVATE
MAYTAG HERRIN LAUNDRY PRODUCTS,265,IL,MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 111/MACHINISTS AFL-CIO (IAM) LODGE 554,2009-06-12,335224,1200,PRIVATE
MAYTAG HERRIN LAUNDRY PRODUCTS,266,IL HERRIN,MACHINISTS AFL-CIO (IAM) LODGE 554,2009-06-12,335224,1200,PRIVATE
MAYTAG HERRIN LAUNDRY PRODUCTS,268,IL HERRIN,IAM LOCAL 997,2008-08-01,NA,NA,PRIVATE
MAYTAG NEWTON LAUNDRY,267,IA,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 997,2004-07-05,23822,NA,PRIVATE
MC2,2334,IL,CRCC ,2020-05-31,NA,NA,PRIVATE
"MCA-SMACNA OF SAN ANTONIO, INC.",1908,TX,PLUMBERS AFL-CIO (PPF) LOCAL UNION 142,2010-06-30,23822,1044,PRIVATE
MCLAREN FLINT/MCLAREN LAPEER REGION,2273,MI,STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) LEADERSHIP COUNCIL 25 MICHIGAN/STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) LOCAL UNION 2818 MCLAREN HEALTH CARE SKILLED MAINT,2022-05-01,NA,NA,PRIVATE
MCLAREN FLINT/MCLAREN LAPEER REGION/MCLAREN MEDICAL GROUP/MCLAREN HOMECARE GROUP,2275,MI,STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) LEADERSHIP COUNCIL 25 MICHIGAN/STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) LOCAL UNION 2650,2021-09-30,NA,NA,PRIVATE
MCLAREN LAPEER REGION,2274,MI,MNA ,2017-05-09,NA,NA,PRIVATE
MEA BENEFITS TRUST,2336,ME,MEA ,2018-08-31,NA,NA,PRIVATE
"MEAD CORP., FINE PAPER DIVISION",121,OH CHILLICOTHE,UPIU/PACE  731,2005-08-01,322121,1300,PRIVATE
MEADOW VIEW NURSING AND RESPIRATORY CARE CENTER,2226,NJ,IUOE DC 1,2021-04-01,NA,NA,PRIVATE
"MEADWESTVACO CORP., RUMFORD MILL/MEAD PAPERS",122,ME RUMFORD,UPIU/PACE  900,2007-06-30,322121,1100,PRIVATE
MEAT TRADE INSTITUTE,49,NY NJ,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 342 050,2003-05-09,311611,2000,PRIVATE
MECHANICAL CONTRACTORS & MASTER PLUMBERS ASSOCIATIONS,1459,CA SAN FRAN,PLUMBERS AFL-CIO (PPF) LOCAL UNION 38,2007-06-30,23822,1800,PRIVATE
MECHANICAL CONTRACTORS ASSOCIATION,693,NV LAS VEGAS,PLUMBERS AFL-CIO (PPF) LOCAL UNION 525,2006-06-01,23822,1000,PRIVATE
MECHANICAL CONTRACTORS ASSOCIATION (AREA AGMT),1398,IL IN,PLUMBERS AFL-CIO (PPF) LOCAL UNION 597,2006-06-01,23822,6500,PRIVATE
MECHANICAL CONTRACTORS ASSOCIATION (INDUSTR AGMT),1448,IL IN,PLUMBERS AFL-CIO (PPF) LOCAL UNION 597,2006-06-01,23822,4500,PRIVATE
